type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
FourTrax Rancher 4x4 2000-2001,,Right Tank,1031,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,,Left Tank,1032,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,,Dashboard Cover,1030,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,,Right Front Fender,1035,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,,Left Front Fender,1036,Background,,0,0,1,0,2,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,,Front Hood,1039,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,,Right Side Cover,1033,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,,Left Side Cover,1034,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,,Right Rear Fender,1037,Background,,0,0,1,0,2,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,,Left Rear Fender,1038,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,,Left Rear Fender,1038,Designer Added Icon 1,,1033.833522154974,347.11183261783896,36.1,0,4,Black,8320,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,,Right Rear Fender,1037,Designer Added Icon 1,,1178.568477845026,347.11183261783896,36.1,0,4,Black,8320,,,,,,,,,,,,,,,,,1,,
FourTrax Rancher 4x4 2000-2001,,Left Side Cover,1034,Designer Added Icon 1,,878.8976901031372,-157.64878050733785,15.9,0,5,Black,6984,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,,Left Side Cover,1034,User Number,,981.0067762801181,311.29665230546334,,0,6,White,,,,,,,,,,,,-9,left,280,Bold Italic 11,1,,,,
FourTrax Rancher 4x4 2000-2001,,Right Side Cover,1033,Designer Added Icon 1,,1083.0493098968627,-157.64878050733785,15.9,0,5,Black,6984,,,,,,,,,,,,,,,,,1,,
FourTrax Rancher 4x4 2000-2001,,Right Side Cover,1033,User Number,,933.6598352487038,311.29665230546334,,0,6,White,,,,,,,,,,,,-9,left,280,Bold Italic 11,1,,,,
FourTrax Rancher 4x4 2000-2001,,Left Tank,1032,Designer Added Icon 1,,771.0013402489834,-407.0871294973922,2.589135514705129,25,5,Black,7310,,,,,,,,,,,,,,,,,1,,
FourTrax Rancher 4x4 2000-2001,,Left Tank,1032,Designer Added Icon 2,,450.82272062299535,506.59332163042734,14.8,7,6,Black,6981,,,,,,,,,,,,,,,,,1,,
FourTrax Rancher 4x4 2000-2001,,Left Tank,1032,Designer Added Icon 3,,474.2504244980677,561.257964005596,3.3,70,7,Black,6114,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,,Right Tank,1031,Designer Added Icon 1,,849.2486597510166,-407.0871294973922,2.589135514705129,-25,5,Black,7310,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,,Right Tank,1031,Designer Added Icon 2,,1169.4272793770047,506.59332163042734,14.8,-7,6,Black,6981,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,,Right Tank,1031,Designer Added Icon 3,,1145.9995755019322,561.257964005596,3.3,-70,7,Black,6114,,,,,,,,,,,,,,,,,1,,
FourTrax Rancher 4x4 2000-2001,,Left Front Fender,1036,Designer Added Icon 1,,432.603077941683,903.6207154628748,17.1,-71,3,Black,6981,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,,Right Front Fender,1035,Designer Added Icon 1,,271.1282754417756,1016.0093996734012,17.1,71,3,Black,6981,,,,,,,,,,,,,,,,,1,,
FourTrax Rancher 4x4 2000-2001,,Front Hood,1039,Designer Added Icon 1,,497.3982732292747,409.91916565813403,13.532831136974034,0,4,Black,8313,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Front Fender,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Front Fender,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Front Fender,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Tank,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Rear Fender,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Rear Fender,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Rear Fender,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Rear Fender,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Rear Fender,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Front Fender,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Front Fender,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Front Fender,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Front Fender,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Front Fender,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Front Fender,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Front Fender,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Front Fender,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Front Fender,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Front Fender,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Front Fender,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Front Fender,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Front Fender,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Front Fender,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Front Fender,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Front Fender,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Front Fender,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Front Fender,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Front Fender,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Front Fender,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Front Fender,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Front Fender,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Front Fender,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Tank,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Tank,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Tank,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Tank,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Tank,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Tank,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Tank,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Tank,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Tank,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Tank,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Tank,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Tank,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Tank,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Tank,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Tank,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Tank,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Tank,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Tank,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Tank,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Tank,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Tank,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Tank,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Tank,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Tank,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Tank,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Rear Fender,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Rear Fender,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Rear Fender,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Rear Fender,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Rear Fender,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Rear Fender,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Rear Fender,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Left Rear Fender,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Rear Fender,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Rear Fender,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Rear Fender,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Rear Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Rear Fender,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Rear Fender,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Rear Fender,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Rear Fender,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Rear Fender,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Rear Fender,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Rear Fender,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Rear Fender,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Rear Fender,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 2000-2001,X,Right Rear Fender,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
